Number,Name,Color,RGB
950,Desert Sand - Light,,"229, 172, 141"
951,Tawny - Light,,"250, 221, 182"
954,Nile Green,,"111, 218, 138"
955,Nile Green - Light,,"168, 235, 173"
956,Geranium,,"247, 86, 109"
957,Geranium - Pale,,"253, 153, 175"
958,Seagreen - Dark,,"13, 178, 148"
959,Seagreen - Medium,,"114, 208, 183"
961,Dusty Rose - Dark,,"222, 88, 108"
962,Dusty Rose - Medium,,"235, 113, 131"
963,Dusty Rose - Ultra Very Light,,"253, 204, 209"
964,Seagreen - Light,,"165, 228, 212"
966,Baby Green - Medium,,"148, 210, 138"
967,Peach - Light,,"255, 194, 172"
970,Pumpkin - Light,,"251, 103, 33"
971,Pumpkin,,"252, 103, 13"
972,Canary - Deep,,"251, 159, 17"
973,Canary - Bright,,"252, 205, 45"
975,Golden Brown - Dark,,"129, 60, 17"
976,Golden Brown - Medium,,"207, 117, 50"
977,Golden Brown - Light,,"236, 143, 67"
986,Forest Green - Very Dark,,"46, 82, 48"
987,Forest Green - Dark,,"67, 104, 56"
988,Forest Green - Medium,,"102, 146, 74"
989,Forest Green,,"113, 167, 78"
991,Aquamarine - Dark,,"19, 95, 85"
992,Aquamarine - Light,,"66, 181, 158"
993,Aquamarine - Very Light,,"98, 216, 182"
995,Electric Blue - Dark,,"0, 97, 176"
996,Electric Blue - Medium,,"73, 168, 235"
3011,Khaki Green - Dark,,"101, 89, 53"
3012,Khaki Green - Medium,,"139, 123, 78"
3013,Khaki Green - Light,,"175, 169, 123"
3021,Brown Gray - Very Dark,,"80, 64, 59"
3022,Brown Gray - Medium,,"132, 130, 116"
3023,Brown Gray - Light,,"162, 155, 134"
3024,Brown Gray - Very Light,,"190, 184, 172"
3031,Mocha Brown - Very Dark,,"66, 48, 20"
3032,Mocha Brown - Medium,,"157, 136, 104"
3033,Mocha Brown - Very Light,,"219, 199, 173"
3041,Antique Violet - Medium,,"134, 106, 118"
3042,Antique Violet - Light,,"175, 152, 160"
3045,Yellow Beige - Dark,,"175, 129, 82"
3046,Yellow Beige - Medium,,"206, 176, 116"
3047,Yellow Beige - Light,,"234, 216, 171"
3051,Green Gray - Dark,,"76, 76, 30"
3052,Green Gray - Medium,,"120, 126, 92"
3053,Green Gray,,"153, 157, 117"
3064,Desert Sand,,"186, 112, 86"
3072,Beaver Gray - Very Light,,"210, 210, 202"
3078,Golden Yellow - Very Light,,"252, 246, 182"
3325,Baby Blue - Light,,"173, 205, 231"
3326,Rose - Light,,"249, 151, 156"
3328,Salmon - Dark,,"190, 68, 74"
3340,Apricot - Medium,,"253, 107, 79"
3341,Apricot,,"253, 142, 120"
3345,Hunter Green - Dark,,"64, 85, 46"
3346,Hunter Green,,"86, 116, 59"
3347,Yellow Green - Medium,,"109, 150, 70"
3348,Yellow Green - Light,,"190, 223, 116"
3350,Dusty Rose - Ultra Dark,,"170, 57, 73"
3354,Dusty Rose - Light,,"239, 165, 172"
3362,Pine Green - Dark,,"73, 82, 60"
3363,Pine Green - Medium,,"97, 116, 81"
3364,Pine Green,,"142, 155, 109"
3371,Black Brown,,"54, 34, 14"
3607,Plum - Light,,"217, 76, 157"
3608,Plum - Very Light,,"236, 129, 190"
3609,Plum - Ultra Light,,"246, 176, 223"
3685,Mauve - Very Dark,,"121, 38, 59"
3687,Mauve,,"181, 69, 93"
3688,Mauve - Medium,,"220, 124, 134"
3689,Mauve - Light,,"248, 187, 200"
3705,Melon - Dark,,"242, 73, 79"
3706,Melon - Medium,,"253, 110, 112"
3708,Melon - Light,,"253, 160, 174"
3712,Salmon - Medium,,"217, 93, 93"
3713,Salmon - Very Light,,"253, 213, 208"
3716,Dusty Rose - Very Light,,"252, 175, 185"
3721,Shell Pink - Dark,,"147, 59, 61"
3722,Shell Pink - Medium,,"160, 75, 76"
3726,Antique Mauve - Dark,,"149, 86, 92"
3727,Antique Mauve - Light,,"218, 158, 166"
3731,Dusty Rose - Very Dark,,"195, 76, 92"
3733,Dusty Rose,,"234, 126, 134"
3740,Antique Violet - Dark,,"113, 83, 93"
3743,Antique Violet - Very Light,,"207, 194, 201"
3746,Blue Violet - Dark,,"132, 74, 181"
3747,Blue Violet - Very Light,,"208, 197, 236"
3750,Antique Blue - Very Dark,,"29, 69, 82"
3752,Antique Blue - Very Light,,"186, 201, 204"
3753,Antique Blue - Ultra Very Light,,"217, 230, 236"
3755,Baby Blue,,"129, 165, 216"
3756,Baby Blue - Light,,"233, 244, 250"
3760,Wedgewood - Medium,,"70, 114, 147"
3761,Sky Blue - Light,,"177, 208, 223"
3765,Peacock Blue - Very Dark,,"23, 94, 120"
3766,Peacock Blue - Light,,"75, 138, 161"
3768,Gray Green - Dark,,"76, 96, 95"
3770,Tawny - Very Light,,"254, 241, 216"
3771,Peach - Dark,,"232, 172, 155"
3772,Desert Sand - Very Dark,,"153, 87, 68"
3773*,Desert Sand - Medium,,"207, 134, 109"
3774,Desert Sand - Very Light,,"243, 207, 180"
3776,Mahogany - Light,,"201, 100, 68"
3777,Terra Cotta - Very Dark,,"146, 47, 37"
3778,Terra Cotta - Light,,"210, 112, 92"
3779,Terra Cotta - Ultra Very Light,,"242, 171, 149"
3781,Mocha Brown - Dark,,"89, 63, 43"
3782,Mocha Brown - Light,,"182, 157, 128"
3787,Brown Gray - Dark,,"98, 82, 76"
3790,Beige Gray - Ultra Dark,,"109, 90, 75"
3799,Pewter Gray - Very Dark,,"57, 57, 61"
3801,Melon - Very Dark,,"228, 53, 61"
3802,Antique Mauve - Very Dark,,"103, 42, 51"
3803,Mauve - Dark,,"135, 42, 67"
3804,Cyclamen Pink - Dark,,"206, 43, 99"
3805,Cyclamen Pink,,"223, 60, 115"
3806,Cyclamen Pink - Light,,"241, 90, 145"
3807,Cornflower Blue,,"75, 89, 158"
3808,Turquoise - Ultra Very Dark,,"3, 83, 92"
3809,Turquoise - Very Dark,,"19, 106, 117"
3810,Turquoise - Dark,,"45, 141, 152"
3811,Turquoise - Very Light,,"168, 226, 229"
3812,Seagreen - Very Dark,,"7, 161, 132"
3813,Blue Green - Light,,"134, 195, 171"
3814,Aquamarine,,"11, 134, 115"
3815,Celadon Green - Dark,,"67, 114, 89"
3816,Celadon Green,,"96, 147, 122"
3817,Celadon Green - Light,,"129, 198, 164"
3818,Emerald Green - Ultra Very Dark,,"0, 93, 46"
3819,Moss Green - Light,,"204, 201, 89"
3820,Straw - Dark,,"219, 165, 62"
3821,Straw,,"235, 187, 82"
3822,Straw - Light,,"247, 209, 105"
3823,Yellow - Ultra Pale,,"254, 245, 205"
3824,Apricot - Light,,"252, 174, 153"
3825,Pumpkin - Pale,,"254, 163, 112"
3826,Golden Brown,,"177, 102, 51"
3827,Golden Brown - Pale,,"234, 166, 100"
3828,Hazelnut Brown,,"170, 124, 67"
3829,Old Gold - Very Dark,,"167, 103, 29"
3830,Terra Cotta,,"169, 65, 56"
3831,Raspberry - Dark,,"193, 43, 82"
3832,Raspberry - Medium,,"227, 99, 112"
3833,Raspberry - Light,,"234, 139, 150"
3834,Grape - Dark,,"106, 34, 88"
3835,Grape - Medium,,"146, 77, 120"
3836,Grape - Light,,"197, 151, 185"
3837,Lavender - Ultra Dark,,"138, 42, 143"
3838,Lavender Blue - Dark,,"96, 107, 173"
3839,Lavender Blue - Medium,,"122, 126, 197"
